ticker,industry,high_dividend_yield_overall_rank,high_dividend_yield_per_industry_rank,high_eps_overall_rank,high_eps_per_industry_rank,high_market_cap_overall_rank,high_market_cap_per_industry_rank,low_pe_absolute_overall_rank,low_pe_absolute_per_industry_rank,low_pe_relative_industry_overall_rank,low_pe_relative_industry_per_industry_rank,high_dividend_yield_overall_value,high_dividend_yield_per_industry_value,high_eps_overall_value,high_eps_per_industry_value,high_market_cap_overall_value,high_market_cap_per_industry_value,low_pe_absolute_overall_value,low_pe_absolute_per_industry_value,low_pe_relative_industry_overall_value,low_pe_relative_industry_per_industry_value,selected_in
MTS.AX,Consumer Staples Distribution & Retail,,1.0,,,,,,1.0,,1.0,,5.17,,,,,,12.653847,,0.4834433364243925,"high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
MVF.AX,Health Care Equipment & Services,,1.0,,,,,,,,,,7.07,,,,,,,,,high_dividend_yield_per_industry
MVL.AX,Materials,,,,,,,16.0,,12.0,,,,,,,,0.53333336,,0.011053864890119969,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
NAB.AX,Banks,,,17.0,2.0,7.0,,,,,,,,2.21,2.21,129647763456.0,,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall"
NAC.AX,Not Applic,46.0,,,,,,,,,,8.57,,,,,,,,,,high_dividend_yield_overall
NCC.AX,Not Applic,36.0,,,,,,,,,,9.52,,,,,,,,,,high_dividend_yield_overall
NDO.AX,Consumer Services,16.0,1.0,,,,,,,,,13.04,13.04,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
NEM.AX,Materials,,,2.0,1.0,5.0,,,,,,,,9.66,9.66,177805590528.0,,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall"
NEU.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,42.0,2.0,,,,,,,,,1.14,1.14,,,,,,,"high_eps_overall, high_eps_per_industry"
NMT.AX,Materials,,,,,,,46.0,,33.0,,,,,,,,2.1333334,,0.044215458731440054,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
NOR.AX,Software & Services,,,,,,,31.0,1.0,23.0,1.0,,,,,,,1.4000001,1.4000001,0.025031216510400862,0.025031216510400862,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
NSC.AX,Not Applic,17.0,2.0,,,,,,,,,12.99,12.99,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
NST.AX,Materials,,,43.0,,19.0,,,,,,,,1.12,,38644162560.0,,,,,,"high_eps_overall, high_market_cap_overall"
NTD.AX,Consumer Discretionary Distribution & Retail,,,,,,,,1.0,,1.0,,,,,,,,2.875,,0.10632524938383295,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
NWS.AX,Media & Entertainment,,,37.0,2.0,28.0,1.0,,,,,,,1.25,1.25,25001052160.0,25001052160.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
NZM.AX,Media & Entertainment,,2.0,,,,,,,,,,7.95,,,,,,,,,high_dividend_yield_per_industry
