ticker,industry,high_dividend_yield_overall_rank,high_dividend_yield_per_industry_rank,high_eps_overall_rank,high_eps_per_industry_rank,high_market_cap_overall_rank,high_market_cap_per_industry_rank,low_pe_absolute_overall_rank,low_pe_absolute_per_industry_rank,low_pe_relative_industry_overall_rank,low_pe_relative_industry_per_industry_rank,high_dividend_yield_overall_value,high_dividend_yield_per_industry_value,high_eps_overall_value,high_eps_per_industry_value,high_market_cap_overall_value,high_market_cap_per_industry_value,low_pe_absolute_overall_value,low_pe_absolute_per_industry_value,low_pe_relative_industry_overall_value,low_pe_relative_industry_per_industry_value,selected_in
QAN.AX,Transportation,,,50.0,1.0,45.0,2.0,,,,,,,1.04,1.04,15495159808.0,15495159808.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
QBE.AX,Insurance,,,18.0,1.0,24.0,1.0,,2.0,,2.0,,,2.01,2.01,29765978112.0,29765978112.0,,9.80597,,0.4875438770944166,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
QFE.AX,Financial Services,4.0,1.0,,,,,,,,,100.0,100.0,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
QUE.AX,Financial Services,,,,,,,40.0,,,,,,,,,,1.8666668,,,,low_pe_absolute_overall
RAN.AX,Materials,,,,,,,5.0,,4.0,,,,,,,,0.042857144,,0.0008941277319833238,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
RCM.AX,Materials,,,,,,,38.0,,30.0,,,,,,,,1.8333334,,0.03824879779462849,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
REA.AX,Media & Entertainment,,,10.0,1.0,29.0,2.0,,,,,,,5.13,5.13,24338632704.0,24338632704.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
REP.AX,Equity Real Estate Investment Trusts (REITs),49.0,,,,,,,,,,8.7,,,,,,,,,,high_dividend_yield_overall
RFG.AX,Consumer Services,,,,,,,,2.0,,2.0,,,,,,,,6.7123227,,0.1469717995739628,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
RIO.AX,Materials,,,3.0,2.0,3.0,1.0,,,,,,,9.51,9.51,234917052416.0,234917052416.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
RMD.AX,Health Care Equipment & Services,,,28.0,2.0,16.0,1.0,,,,,,,1.48,1.48,54080512000.0,54080512000.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
RMY.AX,Media & Entertainment,,,,,,,,2.0,,2.0,,,,,,,,6.4285717,,0.23299170410770773,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
RPM.AX,Automobiles & Components,,,,,,,,2.0,,2.0,,,,,,,,2.75,,0.1376768961268013,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
RTR.AX,Materials,,,,,,,34.0,,27.0,,,,,,,,1.5769231,,0.032899314870704216,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
S32.AX,Materials,,,,,44.0,,,,,,,,,,15550210048.0,,,,,,high_market_cap_overall
S66.AX,Household & Personal Products,,1.0,,1.0,,,,,,,,1.7,,0.04,,,,,,,"high_dividend_yield_per_industry, high_eps_per_industry"
SCG.AX,Equity Real Estate Investment Trusts (REITs),,,,,33.0,2.0,,,,,,,,,21908951040.0,21908951040.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
SEN.AX,Technology Hardware & Equipment,31.0,1.0,,,,,,,,,9.94,9.94,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
SEQ.AX,Financial Services,13.0,,,,,,,,,,14.81,,,,,,,,,,high_dividend_yield_overall
SFC.AX,Automobiles & Components,,2.0,23.0,1.0,,,,,,,,4.5,1.79,1.79,,,,,,,"high_dividend_yield_per_industry, high_eps_overall, high_eps_per_industry"
SFX.AX,Materials,,,,,,,,,45.0,,,,,,,,,,0.06944115163831951,,low_pe_relative_industry_overall
SGH.AX,Capital Goods,,,,,39.0,1.0,,,,,,,,,19096352768.0,19096352768.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
SGP.AX,Equity Real Estate Investment Trusts (REITs),,,,,46.0,,,,,,,,,,14364647424.0,,,,,,high_market_cap_overall
SHL.AX,Health Care Equipment & Services,,2.0,47.0,,,,,,,,,4.74,1.07,,,,,,,,"high_dividend_yield_per_industry, high_eps_overall"
SIG.AX,Health Care Equipment & Services,,,,,22.0,2.0,,,,,,,,,33928726528.0,33928726528.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
SMR.AX,Materials,17.0,,,,,,,,,,12.7,,,,,,,,,,high_dividend_yield_overall
SNZ.AX,Health Care Equipment & Services,,,34.0,,,,,,,,,,1.34,,,,,,,,high_eps_overall
SOL.AX,Financial Services,,,46.0,,47.0,,,,,,,,1.11,,13646713856.0,,,,,,"high_eps_overall, high_market_cap_overall"
SPK.AX,Telecommunication Services,24.0,1.0,,2.0,,,,2.0,,2.0,11.17,11.17,,0.12,,,,16.208334,,0.08853900902925473,"high_dividend_yield_overall, high_dividend_yield_per_industry, high_eps_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
SRV.AX,Real Estate Management & Development,,,,2.0,,,,,,,,,,0.53,,,,,,,high_eps_per_industry
STO.AX,Energy,,,,,36.0,2.0,,,,,,,,,19681503232.0,19681503232.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
STP.AX,Consumer Discretionary Distribution & Retail,9.0,1.0,,,,,,2.0,,2.0,20.0,20.0,,,,,,5.0,,0.18613617334621818,"high_dividend_yield_overall, high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
SUN.AX,Insurance,,,32.0,,40.0,2.0,,,,,,,1.36,,19038570496.0,19038570496.0,,,,,"high_eps_overall, high_market_cap_overall, high_market_cap_per_industry"
SVG.AX,Materials,,,,,,,2.0,2.0,2.0,2.0,,,,,,,0.014999999,0.014999999,0.0003129446769859915,0.0003129446769859915,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
SVR.AX,Financial Services,38.0,,,,,,,,,,9.14,,,,,,,,,,high_dividend_yield_overall
TCF.AX,Not Applic,26.0,,,,,,,,,,11.01,,,,,,,,,,high_dividend_yield_overall
TCL.AX,Transportation,,,,,17.0,1.0,,,,,,,,,45008740352.0,45008740352.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
TER.AX,Energy,6.0,2.0,,,,,,,,,46.51,46.51,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
TIA.AX,Real Estate Management & Development,,,,,,,35.0,1.0,46.0,1.0,,,,,,,1.5999999,1.5999999,0.06999751342567703,0.06999751342567703,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
TLS.AX,Telecommunication Services,,,,1.0,15.0,1.0,,,,,,,,0.19,54473900032.0,54473900032.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
TLX.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,,,,2.0,,,,,,,,,,3986568448.0,,,,,high_market_cap_per_industry
TPC.AX,Utilities,,1.0,,,,,,,,,,6.6,,,,,,,,,high_dividend_yield_per_industry
TPG.AX,Telecommunication Services,,,,,,2.0,,,,,,,,,,7323014656.0,,,,,high_market_cap_per_industry
TWE.AX,"Food, Beverage & Tobacco",,1.0,,2.0,,2.0,,,,,,8.18,,0.54,,3996814336.0,,,,,"high_dividend_yield_per_industry, high_eps_per_industry, high_market_cap_per_industry"
TWR.AX,Insurance,20.0,1.0,,,,,,1.0,,1.0,12.5,12.5,,,,,,8.95,,0.44498583006016007,"high_dividend_yield_overall, high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VBX.AX,Materials,,,,,,,20.0,,17.0,,,,,,,,0.9178354,,0.01914878146187265,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
VEN.AX,Energy,,,,,,,42.0,2.0,,2.0,,,,,,,2.0,2.0,,0.09300330008259848,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VGN.AX,Transportation,,,,2.0,,,,2.0,,2.0,,,,0.65,,,,5.276923,,0.13994856633192784,"high_eps_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VIT.AX,Health Care Equipment & Services,,,,,,,,2.0,,2.0,,,,,,,,6.1000004,,0.13062222477946078,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VLS.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,2.0,,,,,,,,,,3.53,,,,,,,,,high_dividend_yield_per_industry
VMT.AX,Automobiles & Components,,,,,,,37.0,1.0,,1.0,,,,,,,1.725,1.725,,0.08636096211590265,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
WAM.AX,Not Applic,47.0,,,,,,,,,,8.71,,,,,,,,,,high_dividend_yield_overall
WAT.AX,Consumer Durables & Apparel,,,,2.0,,,,,,,,,,0.27,,,,,,,high_eps_per_industry
WBC.AX,Banks,,,19.0,,6.0,2.0,,,,,,,1.99,,132462493696.0,132462493696.0,,,,,"high_eps_overall, high_market_cap_overall, high_market_cap_per_industry"
WBT.AX,Semiconductors & Semiconductor Equipment,,,,,,1.0,,,,,,,,,,985365440.0,,,,,high_market_cap_per_industry
WDS.AX,Energy,,,16.0,1.0,18.0,1.0,,,,,,,2.34,2.34,43706294272.0,43706294272.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
WES.AX,Consumer Discretionary Distribution & Retail,,,15.0,2.0,9.0,1.0,,,,,,,2.58,2.58,91923841024.0,91923841024.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
WHC.AX,Energy,,,,2.0,,,,,,,,,,0.8,,,,,,,high_eps_per_industry
WNX.AX,"Food, Beverage & Tobacco",,,,,,,41.0,1.0,,1.0,,,,,,,2.0,2.0,,0.13405842897018494,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
WOW.AX,Consumer Staples Distribution & Retail,,,,2.0,20.0,1.0,,,,,,,,0.78,35890585600.0,35890585600.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
WTC.AX,Software & Services,,,,,31.0,1.0,,,,,,,,,22591436800.0,22591436800.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
WTL.AX,Financial Services,42.0,,,,,,,,,,8.89,,,,,,,,,,high_dividend_yield_overall
WWG.AX,Transportation,,2.0,,,,,,,,,,5.0,,,,,,,,,high_dividend_yield_per_industry
X2M.AX,Technology Hardware & Equipment,,,,,,,14.0,1.0,24.0,1.0,,,,,,,0.5,0.5,0.026491687178296995,0.026491687178296995,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
XRO.AX,Software & Services,,,27.0,1.0,35.0,2.0,,,,,,,1.49,1.49,20061691904.0,20061691904.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
XYZ.AX,Financial Services,,,5.0,2.0,13.0,2.0,,,,,,,7.53,7.53,61856464896.0,61856464896.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
YAL.AX,Energy,21.0,,,,,,,,,,11.62,,,,,,,,,,high_dividend_yield_overall
